Tube ID,Lifestage,Order,Initials,Extracted,Extraction Buffer Vol (uL),Date_Extracted,Vial Name,Box ,Freezer,Additional Notes,Notebook link
F23,Larvae 4,1,KW,Yes,1500,20210321,#1-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F25,Larvae 5,2,KW,Yes,1500,20210321,#2-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F33,Recruit 1,3,KW,Yes,1500,20210321,#3-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F2,Egg Fertilized,4,KW,Yes,1500,20210321,#4-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F12,Larvae 1,5,KW,Yes,1500,20210321,#5-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F9,Larvae 1,6,KW,Yes,1500,20210321,#6-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F6,Embryo 1,7,KW,Yes,1500,20210321,#7-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F1,Egg Fertilized,8,KW,Yes,1500,20210321,#8-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F20,Larvae 3,9,KW,Yes,1500,20210321,#9-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F35,Recruit 1,10,KW,Yes,1500,20210321,#10-A-20210321,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F16,Larvae 2,11,KW,Yes,1500,20210325,#11-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F4,Egg Fertilized,12,KW,Yes,1500,20210325,#12-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F28,Larvae 5,13,KW,Yes,1500,20210325,#13-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F32,Larvae 6,14,KW,Yes,1000,20210325,#14-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F27,Larvae 5,15,KW,Yes,1000,20210325,#15-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F31,Larvae 6,16,KW,Yes,1000,20210325,#16-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F19,Larvae 3,17,KW,Yes,1500,20210325,#17-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F3,Egg Fertilized,18,KW,Yes,1500,20210325,#18-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 1,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F10,Larvae 1,19,KW,Yes,1500,20210325,#19-A-20210325,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 1,20,KW,Yes,1500,20200407,#20-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F39,Recruit 2,21,KW,Yes,1500,20200407,#21-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F26,Larvae 5,22,KW,Yes,1000,20200407,#22-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F7,Embryo 1,23,KW,Yes,1500,20200407,#23-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F24,Larvae 4,24,KW,Yes,1500,20200407,#24-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F40,Recruit 2,25,KW,Yes,1000,20200407,#25-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F18,Larvae 3,26,KW,Yes,1500,20200407,#26-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F38,Recruit 2,27,KW,Yes,1000,20200407,#27-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F36,Recruit 1,28,KW,Yes,1000,20200407,#28-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F8,Embryo 1,29,KW,Yes,1500,20200407,#29-A-20210407,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 3,30,KW,Yes,1500,20210408,#30-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 2,31,KW,Yes,1000,20210408,#31-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 1,32,KW,Yes,1000,20210408,#32-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 3,33,KW,Yes,1000,20210408,#33-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 2,34,KW,Yes,1000,20210408,#34-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 1,35,KW,Yes,1000,20210408,#35-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 3,36,KW,Yes,1000,20210408,#36-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 1,37,KW,Yes,1000,20210408,#37-A-20210408,Symbiont Integration Metabolomics 20210321- (KW/AH/Putnam) BOX 2,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 3,38,KW,Yes,1000,20210408,#38-A-20210408,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F5,Embryo 1,39,KW,Yes,1500,20210408,#39-A-20210408,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 2,40,KW,Yes,1000,20210414,#40-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,"Loose plug, split with Maggie",https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 2,41,KW,Yes,1000,20210414,#41-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
Plug,Recruit 2,42,KW,Yes,1000,20210414,#42-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,Loose Plug,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F17,Larvae 3,43,KW,Yes,1500,20210414,#43-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F11,Larvae 1,44,KW,Yes,1500,20210414,#44-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F37,Recruit 2,45,KW,Yes,1000,20210414,#45-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F15,Larvae 2,46,KW,Yes,1500,20210414,#46-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414
F34,Recruit 1,47,KW,Yes,1000,20210414,#47-A-20210414,Symbiont Integration Metabolomics 20210408- (KW/AH/Putnam) BOX 3,New Grey -80,,https://kevinhwong1.github.io/KevinHWong_Notebook/Symbiont-Integration-Metabolomics-Processing-(20210321-20210414)/#20210414