"% GC"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
0	0.03174786423458785	0.023266324065535825	0.014866094058624636	0.03504696204461186	0.021996418490692463	0.030583335196547833	0.029334704240341646	0.039701159547977094	0.04408112678897123	0.030935400028532192	0.0210251411672694	0.026383012154360553	0.028390335672686284	0.027249808559567903	0.03906728214139116	0.0417612800835124	0.027329347579600385	0.013244451462472419	0.024104309099309416	0.014182247634341588	0.009145187284893387	0.030310074944925998	0.011353327370068155	0.012741015754524245	0.02866854889176316	0.04245098449370126	0.032146315223238305	0.036251616801934186	0.05924686640026348	0.051198813023436845	0.03558794076532493	0.049546184517154895	0.035252816866414856	0.04496251873197849	0.031374685949550125	0.03360502493961156	0.026275938683840816	0.03604325190228274	0.03236998680547889
1	0.02338050448217056	0.0165840193629924	0.011155297082511862	0.02440314266875245	0.015895222121011344	0.02117077478847192	0.02024793574775311	0.0277889719634937	0.030546283524446646	0.021181206874067358	0.014951928100036675	0.018819882003443863	0.01989848102523768	0.019038773530029227	0.026284899505267783	0.02873785352859334	0.01929417746906551	0.009518719525498254	0.016839382449843135	0.010106091146429425	0.006723220102850193	0.02144288355307584	0.008314700165170396	0.008838362280165468	0.01972874436343934	0.030289905360964615	0.02270037654653039	0.02582423317583595	0.040943167534274974	0.03521551010572489	0.024418003152850677	0.033990332868033026	0.024984074385362976	0.030640525470585957	0.022134498708250527	0.023462331838090142	0.018198259588897793	0.02476485295868556	0.023390233291376208
2	0.011937095683100616	0.008278482748899956	0.006150302395594323	0.010919005841717266	0.008215207392509229	0.009552301495788604	0.009210781462090364	0.013245984649927484	0.014251393790293526	0.009730632301434726	0.007771562916122586	0.009075756181100032	0.009467270383979863	0.008887768685819333	0.0107634348756894	0.012617237812465449	0.009537185191987445	0.005022146498115644	0.008016084188840108	0.004938992532798679	0.003728422508456534	0.010151328971693623	0.0043576454449659185	0.00470614095437382	0.008828578344456646	0.015411553066191545	0.010941366325981711	0.012402427775237002	0.018031090585005686	0.015550659886742218	0.011063669707070158	0.014880733313536114	0.012220123450971393	0.013975772634606252	0.010288954013012214	0.01117814204924054	0.008418162661444979	0.01147322733225817	0.01231440999148829
3	0.011177577399976506	0.007304543601970549	0.006493894708197357	0.009149949989773875	0.007733533994902826	0.007995186518418674	0.008004473486027121	0.012105358193961505	0.010907491336705101	0.011827548221114365	0.009265680821158601	0.006695422195617723	0.007963982601796395	0.005880063546794177	0.008628751256377047	0.010053171375726998	0.008523630299625143	0.005641155252534549	0.007231292729792825	0.005107592679500643	0.0040701108245954085	0.010859818670917605	0.004416268477857836	0.005179624647954113	0.009398612536775895	0.014663021214007924	0.01066164604626143	0.009981405915002382	0.016343515512254977	0.013828250838919325	0.010709443355723193	0.012967898029376462	0.014640688916390683	0.01506059726520327	0.009118751088785505	0.010883980416365789	0.007631528214699075	0.010791327971944712	0.012540690252453742
4	0.033114997144211254	0.019397621343010683	0.02362769803000202	0.02684050850920779	0.019574671686060266	0.02053195838749964	0.021093478721629214	0.034365971286200746	0.021403629593802105	0.051975241784418896	0.035654597777010535	0.011092590888011148	0.016650920396551253	0.007053068551013988	0.01838914202178715	0.02184533830508354	0.017389182731613474	0.022120803412630303	0.016379718880972585	0.015937672691179672	0.013114801545918538	0.03754995405887107	0.01367870767478091	0.016356709414591934	0.03270049805694809	0.04347637059258293	0.03312533620225928	0.02440135190710157	0.0495498004053036	0.04398265378990397	0.03123095664375727	0.03623135067643576	0.045372273371625894	0.05185230920502551	0.024629459659903704	0.029686791989719876	0.02110998112312144	0.029310848694108608	0.037121872285753386
5	0.11559868269148976	0.06710711260995536	0.07961033883012315	0.09261990193730289	0.06633713070368202	0.0719067711344421	0.07250249153329635	0.1215871007657927	0.0683111501233064	0.19784048289381936	0.12648406754358846	0.035447042552280865	0.05029702556725302	0.016858187304235994	0.06015692753700718	0.07278394528840733	0.053510813714838644	0.07860243240074019	0.05051814734952941	0.05453718863024083	0.043032628520784044	0.12088605493009198	0.042677567945316436	0.05468019261316655	0.10334302808558465	0.15590995633495836	0.11933297471759009	0.07809919202642822	0.1696012948114466	0.16064117370666672	0.10897183321937084	0.1249812818753137	0.1436984150307945	0.16775543436551318	0.08592159772883484	0.09832058417205679	0.07055054314173345	0.10413577373929797	0.12610956228227224
6	0.27175564170180705	0.16064585151296712	0.17287274554767357	0.21753490126063904	0.15289116429023283	0.16568302249591957	0.16520782318907243	0.28709751868672684	0.16069309013077712	0.44573599805010383	0.2852582803154373	0.08454289672575092	0.11694660907047127	0.039912247194863804	0.14486271669610645	0.1692791584175445	0.12703628367765096	0.17545978335160772	0.11882863820631652	0.12227477698167653	0.09406478350176055	0.25585334263226067	0.09362098352839333	0.11641959665789382	0.21668250944623124	0.36417612687881495	0.28291554599246904	0.1815554024837348	0.3898038791119876	0.37143628670159806	0.2535788373842462	0.28726285179174066	0.2952983234971647	0.3454243193446736	0.20097683241082337	0.2242688289037102	0.16291551616486824	0.2403965840089188	0.2945930808021802
7	0.4391787885784653	0.26316647365988344	0.2696397938537749	0.35120672705109496	0.24903852637911122	0.2668256254811086	0.272084455087012	0.46983691525301813	0.26939645878076274	0.6821691582072406	0.44273185807642745	0.14290211961119648	0.19803234547435214	0.0711923806407254	0.2406534292277795	0.2801306049127767	0.21786545583898595	0.27592607213484205	0.20118689618004998	0.1909247896564405	0.14620240068200988	0.3838575050092436	0.15018243976361237	0.18335297334128978	0.3226671593986612	0.5879256275157848	0.45016675632060243	0.3018844363441678	0.6210276267722622	0.5901985619272174	0.41024134503996323	0.4560705656188299	0.4379517366970734	0.5094636523160141	0.3256917610427965	0.35959494649141066	0.2657298124358218	0.38374698286592557	0.4767963288290461
8	0.5594991432633766	0.3394583735026869	0.3449323226221866	0.44822961244212367	0.32397887915670764	0.34754606664771515	0.35554518356174264	0.6051483278922078	0.3572137065500016	0.8449746526452889	0.5568975146907262	0.19444866246922715	0.26416553241117147	0.09944977042186673	0.3150330078669521	0.372475076829966	0.29640985424470073	0.35341896054181254	0.26762509884168145	0.24526362517291433	0.18841095738151784	0.4699832840711589	0.19404223887224917	0.23638314702228258	0.39806460878761935	0.7526231427181591	0.5684776761699839	0.40075344748734565	0.7870460698907918	0.7469459483551565	0.5282341426736367	0.5815488096022831	0.5374828294469572	0.6182461732522638	0.41927487603024777	0.45559753699641437	0.34353617778783835	0.4877420472134128	0.6055974352680653
9	0.6196529912868063	0.38818238471434974	0.38472031242161797	0.5069524386385779	0.3638641124418379	0.39668502199125455	0.40155399524692104	0.6757843807580364	0.4123615581258488	0.9251522355067474	0.6185648126849105	0.23149041153394936	0.3034460978952479	0.12271436967222632	0.36236897414820984	0.4307631613720599	0.3434607819588206	0.3978474379344448	0.30559779415301214	0.2761075343636852	0.21356524724315315	0.5141199783025029	0.22404746120742927	0.2684222102878824	0.4333094058005289	0.8368996261852437	0.6379881656804733	0.46005786454616293	0.8736965592031841	0.8259155461212164	0.5897396448125145	0.6469321450750539	0.5831643380542535	0.66402808080097	0.4728061399885055	0.5036635478081487	0.3866954050451211	0.5442098085269891	0.6717308189070734
10	0.6088425143903398	0.3975700759361415	0.37854710387185014	0.5033455303182266	0.3677308794392894	0.4014362189734859	0.4102574509246858	0.6682967199906469	0.4228178880204031	0.8900230036388559	0.6091701432676337	0.24441222459799616	0.3123510697958157	0.13318118355603384	0.3676542450369892	0.44459896541188615	0.35663699555953055	0.39505605883432937	0.3142529228156479	0.27793238301034173	0.21398733281014823	0.5027287923571674	0.23044714229813038	0.2724683436693867	0.4191280673574647	0.8324597043770862	0.6398493813878429	0.4671828894067658	0.8604296228620208	0.8112301722964137	0.5857605021323836	0.6363646677944268	0.563895783886797	0.6376806911025338	0.47398738256296075	0.49965118313573714	0.3872824456770211	0.537672233707476	0.6649185921032714
11	0.5365996670271848	0.3591130065650262	0.33471617786078967	0.442853648269829	0.3348968095024528	0.3638458663787734	0.37625534946854805	0.5919299390436344	0.39017503073537324	0.763418759881569	0.5413436398088045	0.2296611893579137	0.2896640473120239	0.12779739135717882	0.33411656504200954	0.4151756683804023	0.33871050661991775	0.35153857545763434	0.29202090191149416	0.2557366695798127	0.19397846700331006	0.4426732201963845	0.2109256723451216	0.24989895427539274	0.37113396901878065	0.746132448712238	0.5712641204948897	0.4310905503587944	0.7592400252305455	0.7115835028804229	0.5218816834394813	0.5613140128218099	0.4961945938429772	0.5589732019464524	0.4225426124978997	0.44423113150213406	0.34775112952487985	0.4701966684345539	0.5900317352111261
12	0.44615369814515504	0.30200229714369353	0.2770155754976534	0.3709218717121974	0.28318381834276524	0.30925700861443917	0.3226366510184847	0.4933761338079934	0.3408126611824013	0.6093190006381457	0.4539968621374184	0.2050253188973308	0.25016544772213456	0.11611245689206609	0.2853660493744606	0.36460516994492714	0.29846138703887987	0.29213709385434095	0.25264679328043615	0.2178710601616895	0.16410083865387265	0.37358440437049584	0.18228832077741958	0.21728597138121075	0.3106408282680234	0.6236295714788447	0.4749112426035503	0.3760547771061802	0.6249479934797292	0.583333414964094	0.4332542503324709	0.463271827865078	0.42073053305543395	0.46623223671796693	0.3552559443548638	0.3693375797722224	0.29443609933572834	0.3893970061370942	0.4914449983547043
13	0.3708094844592432	0.25652474975512873	0.22614100707823068	0.309515977473629	0.24078317953680145	0.2609764628097062	0.27987472435299054	0.40864782505071423	0.29287012322678624	0.48086522991799524	0.3795166969288245	0.18126888217522658	0.21950296715729312	0.10779615218266154	0.2391745821421113	0.31606561522172	0.2595921674920219	0.24235944647069238	0.2209860635611572	0.18567834979730294	0.1394892302355167	0.32053623814110016	0.15858507447812067	0.18857564196138754	0.2623547611966881	0.5183531807066633	0.3961269499731039	0.3269866103687057	0.5129449340359358	0.4795317398355826	0.35774499977034324	0.3786569964716628	0.3564522571719649	0.39201407502254765	0.2986225386823824	0.3073283075622249	0.2480951118535479	0.32769052592841136	0.4080071294955486
14	0.31944073124394917	0.23072888929409566	0.19422128123740878	0.2708129666683342	0.21736850048649012	0.23396650685609702	0.25394473982079	0.3537413789566745	0.26181960044346514	0.39755405360353235	0.32974859692654573	0.1641492387328415	0.20078646049514629	0.10272816902340415	0.20768156898731638	0.28341819504701066	0.23413118013569179	0.2092599972249721	0.20233044944894746	0.16786624018102497	0.12421375257283765	0.2851228233314514	0.1417407230271762	0.17029630179104532	0.23164243117636565	0.44995992791125566	0.34272189349112425	0.2932622005963147	0.43844498524734854	0.41317409457609305	0.30812969549167857	0.3249850887925949	0.3164436156466205	0.3489096069876555	0.26103252965415646	0.2695579539011068	0.22164306098013714	0.2871553972875559	0.35454544047060577
15	0.29609820267593484	0.2211518210159565	0.17731653945733947	0.25209045890193327	0.20912653346078056	0.22265746025763467	0.24246790318871164	0.3270286432459874	0.24927996624250856	0.34310492225095207	0.30138185483021446	0.158931265217868	0.19014869122732891	0.10032200491218403	0.19297025536988666	0.2675641406931179	0.22472832149570418	0.18901957889651994	0.19240844314527822	0.15705599548072266	0.11795281666241064	0.264875516145816	0.12899021337318398	0.15835877351653613	0.21714131745468332	0.41396887584050895	0.31385691231845075	0.2744674256287038	0.3974888363663601	0.3747341694282353	0.28201140585236245	0.29887113650639574	0.2954262829050283	0.32334698404326834	0.24463864906475397	0.25134346559350224	0.2111585152944044	0.26485837058524286	0.326046037076378
16	0.29060435376133703	0.2202049357342196	0.16894434010691217	0.24547615563327826	0.20723997932015548	0.2157602394283871	0.24166745584010893	0.31757248198201143	0.24555124961767386	0.30761049716109395	0.2873973412010644	0.1599748599208627	0.1893798341173572	0.10466813883807538	0.18884234306989106	0.2621440596610025	0.2221639055029803	0.18003811225221547	0.19191514565673423	0.15072853115155488	0.1159830840164336	0.2574474444555146	0.12377276344580325	0.15019476679995472	0.21276178646491348	0.393153538033211	0.3003657880580957	0.2681069339871225	0.3734344009063057	0.35088166119250785	0.26721655191110427	0.28437484557840154	0.28614922583491914	0.31005211197467514	0.2411611592427595	0.24668394532876622	0.2070022676205529	0.2594897660976956	0.3135529847736012
17	0.29081955060822223	0.22535869705338768	0.16813117163375166	0.24942704703595187	0.21227079036182234	0.2190441549896352	0.24698873962236922	0.31720453796395787	0.24995670840573478	0.2878900631748933	0.2843983563413159	0.16432512548053724	0.19426838827926682	0.11211220905716264	0.18805791113749318	0.2644669515319091	0.22549764629352131	0.17684963319643507	0.19536822807654225	0.15076820177430827	0.11372191133610281	0.2587094417322573	0.12418312467604667	0.14916171146850682	0.20757586564210667	0.3827151075465956	0.2945669714900484	0.2697740411452665	0.3609593267146639	0.33766564105779096	0.26289499042467135	0.27788620824193844	0.28602126642705555	0.30806711371443374	0.24098452483910263	0.25359086046866536	0.21082977254054044	0.26262866791501155	0.3118737470474892
18	0.2988198098571295	0.23586912368066754	0.1669056923854675	0.2537710619612795	0.22474077943318815	0.23332769045512472	0.2592547496967319	0.32505094414894964	0.26201864225617877	0.27900762158254244	0.2875155807475061	0.17361194575887218	0.2076143706508651	0.12106013184576248	0.1972782012281375	0.2745708965004428	0.2351325235233268	0.17990963873714738	0.2049763177965926	0.15514188793287095	0.11596298470371955	0.2650304982675213	0.12635217689304765	0.15300697298000737	0.209341581310998	0.384037855614153	0.29771920387305	0.2808066802364234	0.3615434873167699	0.3403676192323378	0.2670748613705655	0.2772673497676515	0.28750346290147527	0.31260260392533407	0.24519063157618168	0.2671222955809039	0.21978801258333336	0.2708655792356233	0.3206153108132072
19	0.3128582394568735	0.25825619712744763	0.17070811397827443	0.2671176055553858	0.24577385112866781	0.2530212023163483	0.28386568718968574	0.34315378983718386	0.28396631947139805	0.2788191347583016	0.29928579014329343	0.1872138542473425	0.2258718581428796	0.1369558535055104	0.21301827803559725	0.29471531944650187	0.2502503663756706	0.19015248171121116	0.22257806909236738	0.16331403622007198	0.12258570824299948	0.2785582234620792	0.13287887455501454	0.16013792436514088	0.223620242664946	0.39839326099849637	0.30847767616998384	0.3038807175271683	0.3669567088962856	0.3553223745669896	0.2813029531496686	0.2851718602801347	0.29650327458788006	0.3245241341743417	0.2606461418961571	0.2845366642470892	0.23304339005163374	0.2884217818138523	0.34011114171849377
20	0.3388211061016661	0.2904773505716955	0.18234444029843055	0.29525542168935204	0.2786881999651054	0.28268623893649847	0.32557914056757353	0.3763791346674186	0.3181749723497748	0.2851098825173405	0.32287995418325066	0.21390173676437566	0.252781856991889	0.16247623161013885	0.23544531557825235	0.3256618242621867	0.27481991388691096	0.20379403312934855	0.24817348196386663	0.181522852063884	0.13265546391273922	0.3039531511186388	0.1449356783197857	0.17623636994687084	0.24352972957716948	0.43105180824787764	0.3364712210866057	0.34038717873544294	0.3905957412615091	0.3793626335520058	0.30812969549167857	0.30599738560424544	0.3199518360788801	0.3478017009819394	0.2895037875935969	0.3140587257223992	0.2579339128441907	0.3151349186591477	0.36786024740530976
21	0.3831136806458539	0.33734817201767325	0.2052505944719662	0.3369854836190833	0.3290765892813754	0.335159017372612	0.38343682779333577	0.4310832115515289	0.3651223012418219	0.3022504030967443	0.36064136569685873	0.25297204631918874	0.2973755693702475	0.20277948047307592	0.2791548916146541	0.37496298287749436	0.31324951926358763	0.227269648155424	0.28864629863759084	0.20523596681473066	0.14892585755476384	0.3432079085162676	0.1622001615064556	0.1984470595730009	0.26869465367711676	0.4862380880896893	0.3816568047337278	0.3970475850784777	0.43647182054690153	0.42206368440111264	0.35169953670735504	0.34785472241056253	0.35241087254027365	0.38828643294081533	0.33085831734975973	0.3595714135607807	0.29809923287878387	0.35626535626535627	0.4132711229348502
22	0.44319157684097105	0.40146583252385915	0.2351889379767773	0.3970056174402961	0.3980361640386923	0.40423104072773963	0.4593440390347732	0.5042120851396702	0.4326372841142739	0.33349209421466786	0.41292474332344276	0.3069927294281394	0.3574038013443065	0.2561662466907724	0.3339365314837543	0.44259340849602147	0.3683234055835152	0.26298528534434873	0.3425054153413501	0.2354054754186937	0.1752157585847431	0.3967985121716316	0.19030013527264839	0.2308161266250355	0.3070954936572573	0.5583842540070038	0.4432275416890802	0.47693068794928933	0.4993145199867954	0.4894498772436623	0.4101941148597837	0.4069088234872169	0.39896677043463763	0.440738857898937	0.3841687883034464	0.42159245223609315	0.3477041662743278	0.414605634869952	0.47902340297644286
23	0.5231688520539399	0.480124945571005	0.2741294000717879	0.470509888088544	0.4816733976064043	0.49074075552815744	0.5550144080522748	0.5991968334001918	0.5163410010874318	0.3775626698074855	0.4859322887263537	0.3748732882555142	0.4306862118559373	0.3186062053769346	0.3997516565659267	0.5260651950702395	0.4339113974736106	0.31324178855688734	0.4082260943832811	0.2812448800102509	0.21082169105768514	0.46710504466806146	0.22844418867432317	0.2775331843916244	0.3620134219416727	0.6537349073420106	0.5233674018289403	0.5763306249390099	0.5800584965445602	0.5793253446205818	0.48916297612006665	0.47932464162233934	0.4624879531549138	0.5063822887376161	0.4534315538373935	0.5042871704698432	0.4093199509985444	0.4892032601283703	0.5589003350972476
24	0.6110957519636079	0.5754357126441244	0.32846279777141446	0.5581567774642726	0.5817811854089354	0.5930312317338435	0.6574152991418303	0.702156768252024	0.6157822907191447	0.4346270558464077	0.578137636851526	0.455171451470208	0.5218818454819832	0.39772388905899136	0.4780791139468397	0.6268634701897448	0.5176334738836823	0.3759835815519507	0.4912009742176947	0.338985471427829	0.2590399422586944	0.554592452370673	0.27500064729598817	0.3353699349619929	0.42715025586888433	0.776688954458912	0.6236471221086606	0.7012468581135716	0.6875180846386402	0.6943594124021941	0.5957260701502782	0.5706156432232137	0.5427931448732957	0.5974844763326465	0.5412298921050824	0.605031646496788	0.4896623318803687	0.5796144562664386	0.6468876281505507
25	0.7201752360582824	0.678700316083834	0.39710108875241407	0.6635925062400988	0.6956166650432489	0.7082078325278923	0.7847653449138899	0.8109302185891022	0.7467385340305105	0.5061813664988466	0.6888420994699859	0.5599999530968673	0.6313005401622839	0.49458703306129637	0.5718637382579541	0.7522488576258953	0.6204177091730015	0.4583234253001258	0.5957688304824662	0.4105512748749682	0.3196594694042734	0.6637773571120189	0.33736578378750715	0.40731076040476827	0.5146157462074304	0.9235652592627227	0.7485637439483593	0.8508192876015754	0.8226149598856914	0.8297277026393837	0.7170367879415682	0.6877955576650919	0.6496072605874147	0.708748245094198	0.6454331506124025	0.7178602824022274	0.5850916570020211	0.688545173126671	0.7557284336749331
26	0.8635849465501668	0.8052582974542718	0.48534704770596016	0.796153758079057	0.8421390366317971	0.8589086141197589	0.9547645782882603	0.9606190437337341	0.9016461421384123	0.6023921098472939	0.8194215549403278	0.6948816370131381	0.7718407345775583	0.6256177074429272	0.6929748848042417	0.9089107782309744	0.750238215928467	0.5620132313705227	0.7288021940975385	0.5089046663363427	0.39312245737413126	0.8055970686238695	0.4208449826255986	0.5026818546844108	0.6247435715089125	1.097563026381954	0.9036040882194729	1.0269486279336442	0.9781314935130262	0.9901729625207056	0.8701334169937258	0.8353089139905803	0.78301560656918	0.8451014686101954	0.7716936302763733	0.8532922981777628	0.700609512547289	0.8228468757103119	0.8981301747467179
27	1.0621230257588095	1.0029544173483451	0.595456930818146	0.9931577833690863	1.0632137463165365	1.0739202405782566	1.169893258654978	1.199764258267633	1.1146739595586845	0.7226938254190268	0.9762716878200798	0.8994379245832804	0.9818190539546051	0.7964252822881659	0.8591329995339703	1.1194815609985693	0.9464282508765723	0.6816571121302825	0.9133851452654597	0.6243164255816804	0.4949254762708017	0.9718043240011955	0.524412340734654	0.6262180547367237	0.7487051534288738	1.3185439845519433	1.1009575040344273	1.2397755627787428	1.1810169612978023	1.1912540150089583	1.0695274301669315	1.0538503452058205	0.9392113904346504	1.011206584654694	0.9283793859702384	1.0167991001948644	0.8483911212217772	0.9866001363798721	1.0885390596054363
28	1.2448124901262623	1.1854327380716465	0.7196197395157959	1.1726284995487435	1.2511734099158356	1.2615126693262722	1.3537593968009163	1.3940111039985488	1.3072800869945418	0.8548348696383892	1.1562322775043459	1.0722994202186507	1.158105366243937	0.9556381538224624	1.0222305437733594	1.3077246563294171	1.11817085336071	0.8234685139445154	1.072159668737283	0.7580064242606487	0.6168981554760226	1.162952630821516	0.6454005101180912	0.7651066048536096	0.9036988406477757	1.533516180182486	1.3005379236148467	1.4650686365006635	1.38211100323612	1.3942778795985464	1.258696109331255	1.2404830584210838	1.1158593529903154	1.2066481284755504	1.1008076828900215	1.1946962892921988	1.0097098868678775	1.1586119559687842	1.2748272618170995
29	1.4048176751044086	1.3294404624912362	0.8648791162072723	1.3241677894438275	1.4087608898327308	1.4216859003638058	1.5162614824735852	1.5316589611523788	1.4673760516871779	1.0095943327666554	1.351026555742207	1.2151077335644094	1.3027078803148826	1.1279345427115184	1.1814187878906341	1.476166050465651	1.255257205428893	0.9842005607051374	1.2089376087426666	0.909706885669662	0.7552618241995523	1.3819423687910286	0.7950358015747123	0.9209401320043841	1.101014090828136	1.7439664231169605	1.5072834857450241	1.6868151255676793	1.5732872962853486	1.6045342295737797	1.4479120186757577	1.3961540946349003	1.3214581315751142	1.423982356596859	1.2921910592522314	1.3781119506222637	1.1856107418103723	1.3484072779226963	1.4456926778208545
30	1.6259134473218373	1.5419350466455979	1.050808369633861	1.5394029180969402	1.6281229829926476	1.6424269114185237	1.7349639911432193	1.7477340857543207	1.7065048854812932	1.2164821832240365	1.5714573174585633	1.4463636294347646	1.5263305445241135	1.3566404414829911	1.3872485831358965	1.7107019690380092	1.4662475841064335	1.1784758743089878	1.421694573290385	1.0921223267454976	0.9262868760834159	1.6299801844287247	0.9859221671762799	1.1210802544817025	1.3194484126702752	2.0056347016905747	1.7598278644432492	1.9504516639269123	1.8178428870203538	1.8701035829046901	1.6986216226140938	1.6438381340029258	1.560774214131965	1.6744729800767342	1.5180512632782153	1.6002745822345905	1.3978494118674725	1.582406996503913	1.669960235412456
31	1.890782789923319	1.8123654831096632	1.273879952052838	1.8115918170945635	1.9011916599856782	1.9141434749695763	1.9883450356480918	2.026129728414081	1.988520595188098	1.4502176257092259	1.8171375968650612	1.7386170494060011	1.8005944986781968	1.6377706408276724	1.6404400637421674	1.9991086695782783	1.7400050970820733	1.4048228490380137	1.693680870383058	1.3026543216978075	1.1342745640484198	1.9170845648876933	1.205064834631752	1.3518246411531651	1.5751852159268664	2.2925479860186555	2.0531038192576654	2.2616166840686462	2.103224813169213	2.1627825118176855	1.985332431394326	1.9374020902601332	1.8374224539330137	1.9561696227176124	1.785188719508762	1.8756687029319326	1.6568047754111692	1.849657426749938	1.9450098473596726
32	2.1833618912207786	2.101408978826157	1.4964017867716501	2.1261889160984966	2.2103992216157895	2.2152955004966794	2.2655365702973156	2.3292696062879426	2.2910376116044033	1.6698636780824105	2.065268659597805	2.069858698449793	2.11241769642836	1.9464063036687387	1.925433186460242	2.328959315247018	2.0532912508598424	1.6263111890153743	1.9909038185373797	1.506561322650299	1.3423325996079227	2.2155579909888967	1.4200843487738262	1.5755959043373544	1.8459236507325425	2.6009636168402848	2.3723292092522863	2.591863179135124	2.411376021453493	2.467861153259794	2.2997083182147557	2.2487816692619655	2.1301189361369524	2.234392518403069	2.095005463522898	2.1664180608653365	1.9497850139797854	2.1393455930900864	2.236232543222209
