"","Genus","Species"
"Otu0002",NA,NA
"Otu0004",NA,NA
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0008",NA,NA
"Otu0009",NA,NA
"Otu0010",NA,NA
"Otu0011",NA,NA
"Otu0012",NA,NA
"Otu0013",NA,NA
"Otu0014",NA,NA
"Otu0015",NA,NA
"Otu0016",NA,NA
"Otu0017",NA,NA
"Otu0018",NA,NA
"Otu0019",NA,NA
"Otu0020",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0023",NA,NA
"Otu0024",NA,NA
"Otu0025",NA,NA
"Otu0026",NA,NA
"Otu0027",NA,NA
"Otu0028",NA,NA
"Otu0029",NA,NA
"Otu0030",NA,NA
"Otu0031",NA,NA
"Otu0032",NA,NA
"Otu0034",NA,NA
"Otu0035",NA,NA
"Otu0036",NA,NA
"Otu0037",NA,NA
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0041",NA,NA
"Otu0042",NA,NA
"Otu0043",NA,NA
"Otu0044",NA,NA
"Otu0045",NA,NA
"Otu0046",NA,NA
"Otu0047",NA,NA
"Otu0048",NA,NA
"Otu0049",NA,NA
"Otu0050",NA,NA
"Otu0051",NA,NA
"Otu0052",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055",NA,NA
"Otu0056",NA,NA
"Otu0057",NA,NA
"Otu0058",NA,NA
"Otu0059",NA,NA
"Otu0060",NA,NA
"Otu0061",NA,NA
"Otu0062",NA,NA
"Otu0063",NA,NA
"Otu0064",NA,NA
"Otu0065",NA,NA
"Otu0066",NA,NA
"Otu0067",NA,NA
"Otu0068",NA,NA
"Otu0069",NA,NA
"Otu0070",NA,NA
"Otu0071",NA,NA
"Otu0073",NA,NA
"Otu0074",NA,NA
"Otu0075",NA,NA
"Otu0076",NA,NA
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0080",NA,NA
"Otu0081",NA,NA
"Otu0082",NA,NA
"Otu0083",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0086",NA,NA
"Otu0087",NA,NA
"Otu0088",NA,NA
"Otu0089","Aureicoccus","marinus"
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092",NA,NA
"Otu0093",NA,NA
"Otu0094",NA,NA
"Otu0095","Maricaulis","maris"
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0099",NA,NA
"Otu0100",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0104",NA,NA
"Otu0105",NA,NA
"Otu0106",NA,NA
"Otu0107",NA,NA
"Otu0108",NA,NA
"Otu0109",NA,NA
"Otu0110",NA,NA
"Otu0111",NA,NA
"Otu0112",NA,NA
"Otu0113",NA,NA
"Otu0114",NA,NA
"Otu0115",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118",NA,NA
"Otu0120",NA,NA
"Otu0121",NA,NA
"Otu0122",NA,NA
"Otu0123",NA,NA
"Otu0124",NA,NA
"Otu0125",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0128",NA,NA
"Otu0129",NA,NA
"Otu0130",NA,NA
"Otu0132",NA,NA
"Otu0133",NA,NA
"Otu0134",NA,NA
"Otu0135",NA,NA
"Otu0136",NA,NA
"Otu0137",NA,NA
"Otu0138",NA,NA
"Otu0139",NA,NA
"Otu0140",NA,NA
"Otu0141",NA,NA
"Otu0142",NA,NA
"Otu0144",NA,NA
"Otu0145",NA,NA
"Otu0146",NA,NA
"Otu0147",NA,NA
"Otu0148",NA,NA
"Otu0149",NA,NA
"Otu0150",NA,NA
"Otu0151",NA,NA
"Otu0152",NA,NA
"Otu0153",NA,NA
"Otu0154",NA,NA
"Otu0155",NA,NA
"Otu0156",NA,NA
"Otu0157",NA,NA
"Otu0158",NA,NA
"Otu0159",NA,NA
"Otu0161",NA,NA
"Otu0162",NA,NA
"Otu0163",NA,NA
"Otu0164",NA,NA
"Otu0165",NA,NA
"Otu0166",NA,NA
"Otu0167",NA,NA
"Otu0169",NA,NA
"Otu0170",NA,NA
"Otu0171",NA,NA
"Otu0172",NA,NA
"Otu0173",NA,NA
"Otu0174",NA,NA
"Otu0175",NA,NA
"Otu0176",NA,NA
"Otu0177",NA,NA
"Otu0178",NA,NA
"Otu0179",NA,NA
"Otu0180",NA,NA
"Otu0181",NA,NA
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0184",NA,NA
"Otu0185",NA,NA
"Otu0186",NA,NA
"Otu0187",NA,NA
"Otu0188",NA,NA
"Otu0189",NA,NA
"Otu0190",NA,NA
"Otu0191",NA,NA
"Otu0192",NA,NA
"Otu0193",NA,NA
"Otu0194",NA,NA
"Otu0195",NA,NA
"Otu0196",NA,NA
"Otu0197",NA,NA
"Otu0198",NA,NA
"Otu0199",NA,NA
"Otu0200",NA,NA
"Otu0201",NA,NA
"Otu0202",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0205",NA,NA
"Otu0207",NA,NA
"Otu0208",NA,NA
"Otu0209",NA,NA
"Otu0210",NA,NA
"Otu0211",NA,NA
"Otu0212",NA,NA
"Otu0213",NA,NA
"Otu0214",NA,NA
"Otu0215",NA,NA
"Otu0216",NA,NA
"Otu0217",NA,NA
"Otu0218",NA,NA
"Otu0219",NA,NA
"Otu0220",NA,NA
"Otu0221",NA,NA
"Otu0222",NA,NA
"Otu0223",NA,NA
"Otu0224",NA,NA
"Otu0225",NA,NA
"Otu0227",NA,NA
"Otu0229",NA,NA
"Otu0231",NA,NA
"Otu0232",NA,NA
"Otu0233",NA,NA
"Otu0234",NA,NA
"Otu0235",NA,NA
"Otu0236",NA,NA
"Otu0237",NA,NA
"Otu0238",NA,NA
"Otu0239",NA,NA
"Otu0240",NA,NA
"Otu0241",NA,NA
"Otu0244",NA,NA
"Otu0245",NA,NA
"Otu0246",NA,NA
"Otu0247",NA,NA
"Otu0248",NA,NA
"Otu0250",NA,NA
"Otu0251",NA,NA
"Otu0252",NA,NA
"Otu0253",NA,NA
"Otu0254",NA,NA
"Otu0255",NA,NA
"Otu0256",NA,NA
"Otu0257",NA,NA
"Otu0258",NA,NA
"Otu0259",NA,NA
"Otu0260",NA,NA
"Otu0261",NA,NA
"Otu0262",NA,NA
"Otu0263",NA,NA
"Otu0264",NA,NA
"Otu0265","Leptobacterium","flavescens"
"Otu0266",NA,NA
"Otu0267",NA,NA
"Otu0268",NA,NA
"Otu0269",NA,NA
"Otu0270",NA,NA
"Otu0271",NA,NA
"Otu0272",NA,NA
"Otu0273",NA,NA
"Otu0274",NA,NA
"Otu0275",NA,NA
"Otu0276",NA,NA
"Otu0277",NA,NA
"Otu0278",NA,NA
"Otu0279",NA,NA
"Otu0280",NA,NA
"Otu0281",NA,NA
"Otu0282",NA,NA
"Otu0284",NA,NA
"Otu0285",NA,NA
"Otu0286",NA,NA
"Otu0287",NA,NA
"Otu0288",NA,NA
"Otu0289",NA,NA
"Otu0290",NA,NA
"Otu0292",NA,NA
"Otu0293",NA,NA
"Otu0294",NA,NA
"Otu0295",NA,NA
"Otu0296",NA,NA
"Otu0297",NA,NA
"Otu0298",NA,NA
"Otu0299",NA,NA
"Otu0300",NA,NA
"Otu0301",NA,NA
"Otu0302",NA,NA
"Otu0303",NA,NA
"Otu0304",NA,NA
"Otu0305",NA,NA
"Otu0306",NA,NA
"Otu0307",NA,NA
"Otu0308",NA,NA
"Otu0309",NA,NA
"Otu0310",NA,NA
"Otu0311",NA,NA
"Otu0312",NA,NA
"Otu0313",NA,NA
"Otu0314",NA,NA
"Otu0315",NA,NA
"Otu0316",NA,NA
"Otu0317",NA,NA
"Otu0318",NA,NA
"Otu0319",NA,NA
"Otu0320",NA,NA
"Otu0321",NA,NA
"Otu0322",NA,NA
"Otu0324",NA,NA
"Otu0325",NA,NA
"Otu0326",NA,NA
"Otu0328",NA,NA
"Otu0329",NA,NA
"Otu0330",NA,NA
"Otu0331",NA,NA
"Otu0332",NA,NA
"Otu0334",NA,NA
"Otu0335",NA,NA
"Otu0336",NA,NA
"Otu0337",NA,NA
"Otu0339",NA,NA
"Otu0340",NA,NA
"Otu0341",NA,NA
"Otu0342",NA,NA
"Otu0343",NA,NA
"Otu0344",NA,NA
"Otu0346",NA,NA
"Otu0347",NA,NA
"Otu0348",NA,NA
"Otu0349",NA,NA
"Otu0350",NA,NA
"Otu0351",NA,NA
"Otu0352",NA,NA
"Otu0353",NA,NA
"Otu0354",NA,NA
"Otu0355",NA,NA
"Otu0356",NA,NA
"Otu0358",NA,NA
"Otu0359",NA,NA
"Otu0360",NA,NA
"Otu0361",NA,NA
"Otu0362",NA,NA
"Otu0363",NA,NA
"Otu0365",NA,NA
"Otu0366",NA,NA
"Otu0367",NA,NA
"Otu0368",NA,NA
"Otu0370",NA,NA
"Otu0372",NA,NA
"Otu0373","Muricauda","aquimarina"
"Otu0374",NA,NA
"Otu0375",NA,NA
"Otu0376",NA,NA
"Otu0377",NA,NA
"Otu0378",NA,NA
"Otu0379",NA,NA
"Otu0380",NA,NA
"Otu0381",NA,NA
"Otu0382",NA,NA
"Otu0383",NA,NA
"Otu0384",NA,NA
"Otu0385",NA,NA
"Otu0386",NA,NA
"Otu0387",NA,NA
"Otu0388",NA,NA
"Otu0389",NA,NA
"Otu0390",NA,NA
"Otu0391",NA,NA
"Otu0392",NA,NA
"Otu0393",NA,NA
"Otu0394",NA,NA
"Otu0397",NA,NA
"Otu0398",NA,NA
"Otu0400",NA,NA
"Otu0401",NA,NA
"Otu0403",NA,NA
"Otu0404",NA,NA
"Otu0405",NA,NA
"Otu0406",NA,NA
"Otu0407",NA,NA
"Otu0409",NA,NA
"Otu0410",NA,NA
"Otu0411",NA,NA
"Otu0414",NA,NA
"Otu0415",NA,NA
"Otu0416",NA,NA
"Otu0419",NA,NA
"Otu0420",NA,NA
"Otu0422",NA,NA
"Otu0423",NA,NA
"Otu0424",NA,NA
"Otu0425",NA,NA
"Otu0426",NA,NA
"Otu0427",NA,NA
"Otu0428",NA,NA
"Otu0430",NA,NA
"Otu0431",NA,NA
"Otu0432",NA,NA
"Otu0433",NA,NA
"Otu0434",NA,NA
"Otu0435",NA,NA
"Otu0436",NA,NA
"Otu0437",NA,NA
"Otu0438",NA,NA
"Otu0439",NA,NA
"Otu0442",NA,NA
"Otu0446",NA,NA
"Otu0447",NA,NA
"Otu0448",NA,NA
"Otu0449",NA,NA
"Otu0450",NA,NA
"Otu0452",NA,NA
"Otu0453",NA,NA
"Otu0455",NA,NA
"Otu0456",NA,NA
"Otu0457",NA,NA
"Otu0458",NA,NA
"Otu0459",NA,NA
"Otu0460",NA,NA
"Otu0462",NA,NA
"Otu0463",NA,NA
"Otu0464",NA,NA
"Otu0465",NA,NA
"Otu0466",NA,NA
"Otu0467",NA,NA
"Otu0468",NA,NA
"Otu0469",NA,NA
"Otu0470",NA,NA
"Otu0471",NA,NA
"Otu0472",NA,NA
"Otu0473",NA,NA
"Otu0475",NA,NA
"Otu0476",NA,NA
"Otu0477",NA,NA
"Otu0478",NA,NA
"Otu0480",NA,NA
"Otu0481",NA,NA
"Otu0482",NA,NA
"Otu0483",NA,NA
"Otu0484",NA,NA
"Otu0486",NA,NA
"Otu0487",NA,NA
"Otu0488",NA,NA
"Otu0489",NA,NA
"Otu0490",NA,NA
"Otu0492",NA,NA
"Otu0493",NA,NA
"Otu0494",NA,NA
"Otu0496",NA,NA
"Otu0497",NA,NA
"Otu0499",NA,NA
"Otu0500",NA,NA
"Otu0502",NA,NA
"Otu0503",NA,NA
"Otu0504",NA,NA
"Otu0505",NA,NA
"Otu0506",NA,NA
"Otu0508",NA,NA
"Otu0509",NA,NA
"Otu0511",NA,NA
"Otu0514",NA,NA
"Otu0516",NA,NA
"Otu0517",NA,NA
"Otu0519",NA,NA
"Otu0521",NA,NA
"Otu0522",NA,NA
"Otu0523",NA,NA
"Otu0524",NA,NA
"Otu0525",NA,NA
"Otu0526",NA,NA
"Otu0529",NA,NA
"Otu0531",NA,NA
"Otu0533",NA,NA
"Otu0534",NA,NA
"Otu0536",NA,NA
"Otu0538",NA,NA
"Otu0539",NA,NA
"Otu0540",NA,NA
"Otu0541",NA,NA
"Otu0542",NA,NA
"Otu0543",NA,NA
"Otu0547",NA,NA
"Otu0550",NA,NA
"Otu0551",NA,NA
"Otu0552",NA,NA
"Otu0557",NA,NA
"Otu0558",NA,NA
"Otu0559",NA,NA
"Otu0560",NA,NA
"Otu0561",NA,NA
"Otu0562",NA,NA
"Otu0564",NA,NA
"Otu0565",NA,NA
"Otu0567",NA,NA
"Otu0568",NA,NA
"Otu0571",NA,NA
"Otu0572",NA,NA
"Otu0573",NA,NA
"Otu0575",NA,NA
"Otu0576",NA,NA
"Otu0578",NA,NA
"Otu0579",NA,NA
"Otu0580",NA,NA
"Otu0583",NA,NA
"Otu0585",NA,NA
"Otu0586",NA,NA
"Otu0587",NA,NA
"Otu0588",NA,NA
"Otu0593",NA,NA
"Otu0594",NA,NA
"Otu0596",NA,NA
"Otu0597",NA,NA
"Otu0599",NA,NA
"Otu0600",NA,NA
"Otu0601",NA,NA
"Otu0604",NA,NA
"Otu0605",NA,NA
"Otu0606",NA,NA
"Otu0608",NA,NA
"Otu0609",NA,NA
"Otu0613",NA,NA
"Otu0614",NA,NA
"Otu0615",NA,NA
"Otu0619",NA,NA
"Otu0620",NA,NA
"Otu0621",NA,NA
"Otu0625",NA,NA
"Otu0628",NA,NA
"Otu0629",NA,NA
"Otu0630",NA,NA
"Otu0631",NA,NA
"Otu0632",NA,NA
"Otu0634",NA,NA
"Otu0635",NA,NA
"Otu0636",NA,NA
"Otu0637",NA,NA
"Otu0638",NA,NA
"Otu0639",NA,NA
"Otu0643",NA,NA
"Otu0644",NA,NA
"Otu0645",NA,NA
"Otu0648",NA,NA
"Otu0649",NA,NA
"Otu0650",NA,NA
"Otu0652",NA,NA
"Otu0653",NA,NA
"Otu0654",NA,NA
"Otu0656",NA,NA
"Otu0658",NA,NA
"Otu0659",NA,NA
"Otu0662",NA,NA
"Otu0663",NA,NA
"Otu0664",NA,NA
"Otu0665",NA,NA
"Otu0667",NA,NA
"Otu0668",NA,NA
"Otu0669",NA,NA
"Otu0671",NA,NA
"Otu0672",NA,NA
"Otu0673",NA,NA
"Otu0674",NA,NA
"Otu0675",NA,NA
"Otu0676",NA,NA
"Otu0677",NA,NA
"Otu0679",NA,NA
"Otu0680",NA,NA
"Otu0683",NA,NA
"Otu0684",NA,NA
"Otu0685",NA,NA
"Otu0689",NA,NA
"Otu0690",NA,NA
"Otu0691",NA,NA
"Otu0697",NA,NA
"Otu0699",NA,NA
"Otu0700",NA,NA
"Otu0701",NA,NA
"Otu0702",NA,NA
"Otu0703",NA,NA
"Otu0706",NA,NA
"Otu0707",NA,NA
"Otu0712",NA,NA
"Otu0714",NA,NA
"Otu0715",NA,NA
"Otu0716",NA,NA
"Otu0717",NA,NA
"Otu0719",NA,NA
"Otu0722",NA,NA
"Otu0725",NA,NA
"Otu0727",NA,NA
"Otu0728",NA,NA
"Otu0729",NA,NA
"Otu0730",NA,NA
"Otu0732",NA,NA
"Otu0735",NA,NA
"Otu0736",NA,NA
"Otu0737",NA,NA
"Otu0738",NA,NA
"Otu0739",NA,NA
"Otu0741",NA,NA
"Otu0743",NA,NA
"Otu0745",NA,NA
"Otu0746",NA,NA
"Otu0748",NA,NA
"Otu0751",NA,NA
"Otu0752",NA,NA
"Otu0753",NA,NA
"Otu0754",NA,NA
"Otu0755",NA,NA
"Otu0756",NA,NA
"Otu0758",NA,NA
"Otu0760",NA,NA
"Otu0762",NA,NA
"Otu0767",NA,NA
"Otu0769",NA,NA
"Otu0770",NA,NA
"Otu0775",NA,NA
"Otu0776",NA,NA
"Otu0781",NA,NA
"Otu0782",NA,NA
"Otu0787",NA,NA
"Otu0790",NA,NA
"Otu0792",NA,NA
"Otu0793",NA,NA
"Otu0800",NA,NA
"Otu0801",NA,NA
"Otu0802",NA,NA
"Otu0803",NA,NA
"Otu0804",NA,NA
"Otu0805",NA,NA
"Otu0811",NA,NA
"Otu0812",NA,NA
"Otu0813",NA,NA
"Otu0817",NA,NA
"Otu0818",NA,NA
"Otu0821",NA,NA
"Otu0825",NA,NA
"Otu0826",NA,NA
"Otu0830",NA,NA
"Otu0833",NA,NA
"Otu0834",NA,NA
"Otu0835",NA,NA
"Otu0836",NA,NA
"Otu0838",NA,NA
"Otu0841",NA,NA
"Otu0843",NA,NA
"Otu0845",NA,NA
"Otu0848",NA,NA
"Otu0850",NA,NA
"Otu0851",NA,NA
"Otu0858",NA,NA
"Otu0860",NA,NA
"Otu0862",NA,NA
"Otu0863",NA,NA
"Otu0865",NA,NA
"Otu0868",NA,NA
"Otu0872",NA,NA
"Otu0876",NA,NA
"Otu0877",NA,NA
"Otu0878",NA,NA
"Otu0879",NA,NA
"Otu0881",NA,NA
"Otu0882",NA,NA
"Otu0884",NA,NA
"Otu0885",NA,NA
"Otu0888",NA,NA
"Otu0889",NA,NA
"Otu0890",NA,NA
"Otu0894",NA,NA
"Otu0896",NA,NA
"Otu0897",NA,NA
"Otu0898",NA,NA
"Otu0900",NA,NA
"Otu0902",NA,NA
"Otu0904",NA,NA
"Otu0907",NA,NA
"Otu0909",NA,NA
"Otu0910",NA,NA
"Otu0911",NA,NA
"Otu0915",NA,NA
"Otu0916",NA,NA
"Otu0918",NA,NA
"Otu0919",NA,NA
"Otu0922",NA,NA
"Otu0926",NA,NA
"Otu0927",NA,NA
"Otu0929",NA,NA
"Otu0931",NA,NA
"Otu0932","Peptoniphilus","asaccharolyticus/grossensis/harei"
"Otu0934",NA,NA
"Otu0935",NA,NA
"Otu0938",NA,NA
"Otu0939",NA,NA
"Otu0940",NA,NA
"Otu0945",NA,NA
"Otu0950",NA,NA
"Otu0955",NA,NA
"Otu0957",NA,NA
"Otu0959",NA,NA
"Otu0961",NA,NA
"Otu0962",NA,NA
"Otu0963",NA,NA
"Otu0966",NA,NA
"Otu0967",NA,NA
"Otu0968",NA,NA
"Otu0970",NA,NA
"Otu0975",NA,NA
"Otu0981",NA,NA
"Otu0987",NA,NA
"Otu0992",NA,NA
"Otu0994",NA,NA
"Otu0997",NA,NA
